Código Candidato,Data de nascimento,Série,Unidade,Data de Inscrição,Data da matrícula,Tipo,Bolsa (%),Real Anuidade
CL0614,01/08/2012,8º ano,Nova Suíça,18/8/2024 22:45:00,17/10/2024,Rematrícula,"42,00%",18.852
CL0615,25/10/2013,6º ano bilíngue,Mais Pampulha,18/08/2024 22:45:00,16/09/2024,Rematrícula,"47,40%",34.526
CL0617,16/05/2014,5º ano,Carlos Prates,18/08/2024 22:45:00,09/10/2024,Rematrícula,"100,00%",0.0
CL0619,18/02/2017,3º ano,Castelo,18/08/2024 22:46:00,13/09/2024,Rematrícula,"50,00%",13.031
CL0631,08/08/2016,3º ano,Gutierrez,18/8/2024 22:46:00,03/02/2025,Rematrícula,"40,00%",17.563
CL0632,28/10/2017,2º ano bilíngue,Mais Belvedere,18/08/2024 22:44:00,01/10/2024,Rematrícula,"60,00%",22.259
CL0633,28/03/2013,7º ano,Santa Amélia,18/8/2024 22:44:00,27/12/2024,Rematrícula,"35,40%",20.047
CL0637,26/8/2016,3º ano bilíngue,Mais Cidade Nova,18/08/2024 22:46:00,28/01/2025,Rematrícula,"64,00%",20.168
CL0639,26/8/2015,4º ano bilíngue,Carajás,18/08/2024 22:45:00,28/11/2024,Rematrícula,"100,00%",0.0
CL0641,6/5/2021,Infantil 3 bilíngue,Carajás,18/08/2024 22:45:00,29/11/2024,Rematrícula,"100,00%",15.966
CL0642,22/01/2020,Infantil 5 bilíngue,Carajás,18/08/2024 22:46:00,28/11/2024,Rematrícula,"100,00%",16.976
CL0644,,Infantil 5,,18/08/2024 22:44:00,,Rematrícula,,
CL0645,06/08/2011,8º ano,Ouro Preto,18/08/2024 22:46:00,08/10/2024,Rematrícula,"2,90%",32.02
CL0646,16/08/2016,3º ano,Castelo,18/08/2024 22:46:00,29/01/2025,Rematrícula,"100,00%",0.0
CL0648,15/03/2012,8º ano,Lagoa Santa,18/08/2024 22:47:00,02/01/2025,Rematrícula,"51,50%",14.998
CL0650,,8º ano,,18/08/2024 22:44:00,,Rematrícula,,
CL0652,18/2/2010,1ª série,Conceição do Mato Dentro,18/08/2024 22:46:00,15/01/2025,Rematrícula,"40,00%",13.263
CL0656,10/1/2020,Infantil 5,Castelo,18/8/2024 22:45:00,04/11/2024,Rematrícula,"55,00%",10.895
CL0663,,4º ano bilíngue,,18/08/2024 22:45:00,,Rematrícula,,
CL0664,29/01/2007,3ª série,Carlos Prates,18/8/2024 22:46:00,31/10/2024,Rematrícula,"34,10%",24.164
CL0665,01/09/2015,4º ano bilíngue,Mais Cidade Nova,18/08/2024 22:45:00,14/10/2024,Rematrícula,"46,60%",29.275
CL0666,13/01/2013,7º ano,Alípio de Melo,18/08/2024 22:45:00,12/11/2024,Rematrícula,"45,00%",16.597
CL0670,13/05/2013,5º ano bilíngue,Carajás,18/08/2024 22:44:00,16/01/2025,Rematrícula,"100,00%",0.0
CL0674,14/04/2017,2º ano,Alípio de Melo,18/08/2024 22:45:00,09/09/2024,Rematrícula,"40,80%",14.659
CL0679,,3º ano,,18/08/2024 22:45:00,,Rematrícula,,
CL0680,07/08/2015,4º ano,Alípio de Melo,18/08/2024 22:47:00,22/01/2025,Rematrícula,"56,00%",11.708
CL0682,,Infantil 5 bilíngue,,18/08/2024 22:46:00,,Rematrícula,,
CL0685,02/10/2013,6º ano,Alípio de Melo,18/08/2024 22:46:00,06/11/2024,Rematrícula,"60,00%",12.713
CL0688,06/09/2014,5º ano bilíngue,Mais Pampulha,18/08/2024 22:45:00,25/11/2024,Rematrícula,"64,90%",20.492
CL0689,3/2/2009,2ª série,Carlos Prates,18/08/2024 22:46:00,05/12/2024,Rematrícula,"58,10%",12.447
CL0693,3/10/2017,2º ano,Castelo,18/08/2024 22:46:00,24/10/2024,Rematrícula,"48,50%",13.001
CL0696,25/12/2015,4º ano,Lagoa Santa,18/8/2024 22:46:00,19/12/2024,Rematrícula,"53,00%",12.497
CL0698,23/11/2012,7º ano,Carlos Prates,18/8/2024 22:46:00,10/10/2024,Rematrícula,"43,70%",16.228
CL0700,30/3/2011,9º ano,Carajás,18/08/2024 22:44:00,10/12/2024,Rematrícula,"100,00%",23.427
CL0701,31/7/2008,2ª série,Mais Buritis,18/08/2024 22:45:00,02/10/2024,Rematrícula,"40,00%",22.64
CL0703,27/7/2022,Infantil 2,Gutierrez,18/08/2024 22:46:00,12/11/2024,Rematrícula,"38,00%",15.441
CL0718,08/11/2019,Infantil 5,Castelo,18/08/2024 22:46:00,20/12/2024,Rematrícula,"50,30%",11.842
CL0721,30/8/2009,1ª série,Alípio de Melo,18/08/2024 22:44:00,23/10/2024,Rematrícula,"64,00%",12.835
CL0722,15/10/2019,Infantil 5,Lagoa Santa,18/08/2024 22:45:00,27/11/2024,Rematrícula,"60,00%",9.99
CL0731,,4º ano,,18/8/2024 22:46:00,,Rematrícula,,
CL0733,15/05/2018,1º ano bilíngue,Carajás,18/8/2024 22:46:00,26/11/2024,Rematrícula,"100,00%",32.408
